maxcnt:120
cntdiff -9 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 9
0 #nan #nan #nan #nan #nan #nan #nan #nan #nan 0.81 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
1 #nan #nan #nan #nan #nan #nan #nan #nan 0.26 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
2 #nan #nan #nan #nan #nan #nan #nan 0.21 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
3 #nan #nan #nan #nan #nan #nan 0.093 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
4 #nan #nan #nan #nan #nan 0.064 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
5 #nan #nan #nan #nan 0.06 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
6 #nan #nan #nan 0.05 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
7 #nan #nan 0.013 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
8 #nan 0.013 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
9 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
10 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
11 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
12 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
13 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
14 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
15 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
16 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
17 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
18 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
19 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
20 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
21 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
22 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
23 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
24 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
25 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
26 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
27 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
28 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
29 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
30 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
31 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
32 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
33 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
34 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
35 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
36 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
37 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
38 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
39 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
40 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
41 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
42 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
43 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
44 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
45 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
46 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
47 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
48 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
49 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
50 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
51 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
52 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
53 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
54 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
55 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
56 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
57 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
58 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
59 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
60 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
61 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
62 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
63 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
64 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
65 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
66 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
67 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
68 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
69 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
70 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
71 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
72 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
73 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
74 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
75 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
76 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
77 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
78 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
79 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
80 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
81 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
82 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
