Description	ID	Blgermani	Blorienta	Crpudacoe	Crmeridia	Madarwini	Zonevadas	Crbrevis	Kaflavico	Necastane	Prinopiin	Reticulite	Coformosa	Masubhyal	Indotermes	Mirocapri	Globiterme	Nasutiterm	Promiroter
Attacin	F0000001	0	1	2	2	2	2	2	2	3	2	1	1	1	1	1	1	1	0
Termicin	F0000002	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	3	1	1
DEFs	F0000003	5	3	2	2	2	0	1	0	0	2	1	2	3	2	1	4	3	6
DROs	F0000004	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Transferrin	F0000005	5	5	4	5	4	4	4	5	5	5	4	5	4	3	4	4	3	4
TEPs	F0000006	6	3	3	5	4	5	4	6	5	4	6	4	4	5	6	4	5	4
LYS	F0000007	8	13	10	11	5	6	9	10	12	7	7	9	6	9	11	6	8	12
FREPs	F0000008	1	3	3	2	2	2	3	2	1	1	2	0	0	2	1	0	2	1
PPOs	F0000009	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HPXs	F0000010	10	7	6	8	6	10	12	10	11	7	12	5	5	6	6	6	5	10
TPXs	F0000011	9	9	9	10	14	13	15	13	17	13	14	13	7	7	7	5	5	5
GPXs	F0000012	2	3	2	2	3	3	3	3	3	2	3	2	2	2	2	2	2	2
SODs	F0000013	10	6	9	10	15	10	18	8	13	9	7	9	6	8	9	5	7	8
CATs	F0000014	8	4	6	5	2	3	3	3	2	3	3	2	3	3	4	4	4	7
MLs	F0000015	5	7	6	8	6	6	5	4	7	6	4	5	6	4	4	6	5	4
CTLs	F0000016	70	56	18	28	22	14	17	22	18	8	15	8	10	10	18	11	9	14
GALEs	F0000017	5	6	2	4	2	3	4	3	3	3	3	4	3	3	5	3	2	3
PGRPs	F0000018	14	14	11	13	9	7	7	7	8	6	6	7	7	5	7	5	6	6
GNBP	F0000019	9	9	11	13	4	7	8	6	9	4	9	3	5	3	6	5	4	4
SPZs Toll	F0000020	5	4	4	5	1	3	4	3	4	3	3	1	2	2	3	1	3	4
TLR Toll	F0000021	8	7	8	9	5	6	8	11	11	8	8	11	7	8	8	10	10	7
SCRs	F0000022	12	16	13	15	9	11	13	12	13	14	15	11	11	12	15	10	12	13
IAPs	F0000023	4	3	4	4	3	6	4	3	3	6	5	5	6	5	7	7	7	4
Apaf caspas	F0000024	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0
CASPs	F0000025	8	7	8	9	7	7	6	6	5	6	6	8	6	6	10	7	6	6
ATGs	F0000026	22	18	19	22	28	27	21	30	33	25	33	22	19	16	20	15	19	14
CLIPs	F0000027	20	19	18	24	11	18	20	23	17	9	17	5	11	13	13	13	12	24
SRPNs	F0000028	25	26	18	21	14	13	11	13	19	13	18	13	13	10	10	11	11	14
