Family ID	Zonevadas<10>	Coformosa<20>	Crbrevis<16>	Promiroter<30>	Blgermani<0>	Masubhyal<24>	Globiterme<34>	<25>	<21>	<27>	<31>	<23>	<9>	Necastane<14>	Crpudacoe<4>	Crmeridia<6>	<33>	Kaflavico<12>	Prinopiin<18>	<11>	<13>	<17>	<15>	<19>	Reticulite<22>	Mirocapri<32>	Nasutiterm<28>	<3>	<7>	<5>	Indotermes<26>	Madarwini<8>	<29>	Blorienta<2>
F0000001	2	1	2	0	0	1	1	1	1	1	1	1	2	3	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	1	1
F0000002	1	2	1	1	2	1	3	2	2	2	2	2	1	1	1	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1
F0000003	0	2	1	6	5	3	4	3	2	3	3	2	2	0	2	2	3	0	2	2	1	2	1	2	1	1	3	2	2	2	2	2	3	3
F0000004	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
F0000005	4	5	4	4	5	4	4	4	4	4	4	4	4	5	4	5	4	5	5	4	4	4	4	4	4	4	3	4	4	4	3	4	4	5
F0000006	5	4	4	4	6	4	4	5	5	5	5	5	5	5	3	5	5	6	4	5	5	5	5	5	6	6	5	5	5	4	5	4	5	3
F0000007	6	9	9	12	8	6	6	8	8	8	9	8	8	12	10	11	8	10	7	8	10	8	10	8	7	11	8	8	8	10	9	5	8	13
F0000008	2	0	3	1	1	0	0	1	1	1	1	1	2	1	3	2	1	2	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	3
F0000009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
F0000010	10	5	12	10	10	5	6	6	7	6	6	7	8	11	6	8	6	10	7	8	10	8	11	7	12	6	5	8	8	7	6	6	6	7
F0000011	13	13	15	5	9	7	5	8	12	7	6	11	12	17	9	10	6	13	13	12	14	12	15	11	14	7	5	12	12	10	7	14	6	9
F0000012	3	2	3	2	2	2	2	2	2	2	2	2	3	3	2	2	2	3	2	3	3	3	3	2	3	2	2	3	3	2	2	3	2	3
F0000013	10	9	18	8	10	6	5	8	8	8	8	8	10	13	9	10	8	8	9	10	11	10	13	8	7	9	7	10	10	10	8	15	8	6
F0000014	3	2	3	7	8	3	4	3	3	3	4	3	3	2	6	5	4	3	3	3	3	3	3	3	3	4	4	3	3	5	3	2	4	4
F0000015	6	5	5	4	5	6	6	5	5	5	5	5	5	7	6	8	5	4	6	5	5	5	5	5	4	4	5	5	5	7	4	6	5	7
F0000016	14	8	17	14	70	10	11	12	12	12	13	12	19	18	18	28	12	22	8	18	18	17	18	12	15	18	9	25	21	23	10	22	12	56
F0000017	3	4	4	3	5	3	3	3	3	3	3	3	3	3	2	4	3	3	3	3	3	3	3	3	3	5	2	3	3	3	3	2	3	6
F0000018	7	7	7	6	14	7	5	6	6	6	6	6	7	8	11	13	6	7	6	7	7	7	7	6	6	7	6	8	8	12	5	9	6	14
F0000019	7	3	8	4	9	5	5	5	5	5	5	5	6	9	11	13	5	6	4	6	7	6	8	5	9	6	4	7	7	11	3	4	5	9
F0000020	3	1	4	4	5	2	1	3	3	3	3	3	3	4	4	5	3	3	3	3	3	3	4	3	3	3	3	3	3	4	2	1	3	4
F0000021	6	11	8	7	8	7	10	8	8	8	8	8	8	11	8	9	8	11	8	8	9	8	9	8	8	8	10	8	8	8	8	5	8	7
F0000022	11	11	13	13	12	11	10	12	12	12	12	12	12	13	13	15	12	12	14	12	13	12	13	12	15	15	12	12	12	14	12	9	12	16
F0000023	6	5	4	4	4	6	7	6	5	6	6	5	4	3	4	4	6	3	6	4	4	4	4	5	5	7	7	4	4	4	5	3	6	3
F0000024	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
F0000025	7	8	6	6	8	6	7	7	7	7	7	7	7	5	8	9	7	6	6	7	6	7	6	7	6	10	6	7	7	8	6	7	7	7
F0000026	27	22	21	14	22	19	15	19	24	18	18	23	25	33	19	22	18	30	25	25	27	25	27	23	33	20	19	24	24	21	16	28	18	18
F0000027	18	5	20	24	20	11	13	13	13	13	13	13	16	17	18	24	13	23	9	16	19	16	19	13	17	13	12	16	16	20	13	11	13	19
F0000028	13	13	11	14	25	13	11	12	14	12	12	13	14	19	18	21	12	13	13	14	14	14	14	13	18	10	11	16	15	19	10	14	12	26
