Species	Expanded fams	Genes gained	genes/expansion	Contracted fams	Genes lost	genes/contraction	No change	Avg. Expansion
Zonevadas	7 (0)	11	1.57	6 (0)	12	2.0	15	-0.0357143
Coformosa	8 (0)	10	1.25	12 (2)	26	2.17	8	-0.571429
Crbrevis	5 (1)	9	1.8	7 (1)	14	2.0	16	-0.178571
Promiroter	9 (4)	29	3.22	11 (1)	15	1.36	8	0.5
Blgermani	15 (1)	77	5.13	5 (0)	9	1.8	8	2.42857
Masubhyal	3 (0)	3	1.0	13 (0)	17	1.31	12	-0.5
Globiterme	5 (0)	6	1.2	11 (1)	18	1.64	12	-0.428571
Reticulite	11 (3)	37	3.36	5 (0)	5	1.0	12	1.14286
Necastane	10 (2)	23	2.3	6 (0)	7	1.17	12	0.571429
Crpudacoe	2 (0)	2	1.0	12 (1)	18	1.5	14	-0.571429
Crmeridia	17 (2)	26	1.53	0 (0)	0	0	11	0.928571
Kaflavico	6 (0)	15	2.5	8 (0)	10	1.25	14	0.178571
Prinopiin	7 (0)	10	1.43	6 (0)	12	2.0	15	-0.0714286
Mirocapri	12 (1)	23	1.92	3 (1)	5	1.67	13	0.642857
Nasutiterm	4 (0)	5	1.25	12 (0)	14	1.17	12	-0.321429
Blorienta	14 (1)	71	5.07	8 (0)	19	2.38	6	1.85714
Indotermes	2 (0)	2	1.0	12 (0)	16	1.33	14	-0.5
Madarwini	6 (0)	16	2.67	11 (0)	24	2.18	11	-0.285714
