Node	Expansions	Contractions	Rapidly evolving families
Zonevadas<10>	7	6	1
Coformosa<20>	8	12	3
Crbrevis<16>	5	7	3
Promiroter<30>	9	11	5
Blgermani<0>	15	5	1
Masubhyal<24>	3	13	0
Globiterme<34>	5	11	3
<25>	2	4	3
<21>	3	0	0
<27>	0	2	0
<31>	2	0	2
<23>	0	1	0
Reticulite<22>	11	5	5
Necastane<14>	10	6	2
Crpudacoe<4>	2	12	3
Crmeridia<6>	17	0	3
<33>	0	0	0
Kaflavico<12>	6	8	1
Prinopiin<18>	7	6	2
<11>	0	1	0
<13>	10	2	0
<17>	0	1	0
<15>	5	0	0
<19>	2	11	2
<9>	1	4	0
Mirocapri<32>	12	3	2
Nasutiterm<28>	4	12	1
<3>	0	5	0
<7>	0	3	1
Blorienta<2>	14	8	2
Indotermes<26>	2	12	1
Madarwini<8>	6	11	1
<29>	1	1	0
<5>	11	5	1
