	Bg_he	Bo_he	Ca_he	Cf_he	Cm_he	Hs_454_he	Kf_he	Md_he	Ms_he	Nc_he	Nt_454_he	Pi_he	Rf_he	Rs_454_he	SRA_Ba_he	SRA_Cd_he	SRA_Cw_he	SRA_Es_he	SRA_Of_he	SRA_Pa2016_he	SRA_Ps_he	Cb_he	LS05_he	LS17_he	LS19_he	LS26_he	LS29_he	Mng_he	PG24_he	Zns_he
Bg_he	12605	7934	7265	8395	9234	5744	8895	7837	8262	9043	5462	8838	8602	5535	8239	9795	9179	9209	9018	9943	9207	8726	7602	8249	8251	8182	8126	6802	8068	8681
Bo_he	7934	10522	6958	7113	7505	5277	7179	7082	6990	7294	5042	7205	6975	5070	7135	7890	7385	7729	7559	8873	7497	7224	6666	6924	6938	6820	6702	5912	6882	6879
Ca_he	7265	6958	10197	7186	8352	5309	7182	7309	6802	7264	5009	7207	7066	5052	6663	7847	7883	7256	7313	7487	7395	7208	6564	6763	6801	6672	6489	5793	6656	6869
Cf_he	8395	7113	7186	20048	9106	5559	9940	9018	9090	9823	5450	14752	10484	5580	7199	12690	8934	8366	9385	8652	13395	10594	8312	8820	8921	9109	8876	6687	8837	11100
Cm_he	9234	7505	8352	9106	14656	5721	9529	8334	8334	9723	5428	9514	9319	5495	7727	10488	11041	9045	9034	9648	9976	9376	7617	8237	8397	8227	8172	6654	8116	9465
Hs_454_he	5744	5277	5309	5559	5721	6997	5686	5536	5479	5778	4859	5614	5616	4950	5230	6150	5647	5785	5849	5860	5919	5587	5182	5383	5437	5333	5201	4790	5299	5459
Kf_he	8895	7179	7182	9940	9529	5686	18935	9513	8469	13033	5445	10662	10239	5508	7381	15407	9365	8739	9227	9150	11031	12436	7695	8384	8423	8351	8353	6868	8277	10601
Md_he	7837	7082	7309	9018	8334	5536	9513	13793	7702	9499	5259	9284	8478	5290	6975	11595	8179	7819	8232	8024	9316	10345	7261	7618	7626	7527	7401	6330	7433	8905
Ms_he	8262	6990	6802	9090	8334	5479	8469	7702	14626	8613	5504	9284	8987	5490	7059	9174	8233	8268	9966	8465	9441	8362	8715	9341	9308	9401	9213	6935	9110	8144
Nc_he	9043	7294	7264	9823	9723	5778	13033	9499	8613	21018	5522	10567	10726	5580	7464	16736	9513	8961	9342	9338	10895	13669	7814	8485	8616	8507	8450	6870	8400	10588
