	Bg_he	Bo_he	Ca_he	Cf_he	Cm_he	Hs_454_he	Kf_he	Md_he	Ms_he	Nc_he	Nt_454_he	Pi_he	Rf_he	Rs_454_he	SRA_Ba_he	SRA_Cd_he	SRA_Cw_he	SRA_Es_he	SRA_Of_he	SRA_Pa2016_he	SRA_Ps_he	Zn_he	Cb_he	LS05_he	LS17_he	LS19_he	LS26_he	LS29_he	Mng_he	PG24_he
Bg_he	12380	7844	7222	8306	9131	5723	8807	7757	8141	8929	5448	8706	8493	5509	8185	9665	9051	9067	8879	9815	9075	8012	8617	7525	8150	8149	8070	8004	6785	7971
Bo_he	7844	10430	6924	7051	7437	5265	7130	7033	6938	7258	5040	7135	6937	5056	7105	7815	7325	7647	7482	8815	7446	6830	7161	6605	6864	6886	6764	6644	5897	6826
Ca_he	7222	6924	10132	7141	8323	5298	7148	7272	6776	7249	5011	7151	7041	5046	6636	7794	7850	7211	7268	7456	7369	6736	7170	6531	6732	6769	6637	6448	5789	6615
Cf_he	8306	7051	7141	20002	9026	5537	9906	8960	9007	9778	5445	14826	10419	5568	7148	12631	8832	8271	9287	8588	13417	7600	10566	8245	8760	8840	9020	8790	6693	8768
Cm_he	9131	7437	8323	9026	14446	5708	9440	8254	8271	9606	5430	9401	9218	5482	7674	10353	10917	8920	8919	9551	9891	7908	9293	7562	8172	8325	8154	8083	6648	8041
Hs_454_he	5723	5265	5298	5537	5708	6929	5673	5519	5466	5760	4849	5603	5613	4925	5213	6121	5618	5758	5836	5842	5895	5722	5563	5163	5368	5430	5312	5184	4799	5291
Kf_he	8807	7130	7148	9906	9440	5673	18822	9499	8391	12955	5441	10586	10161	5499	7344	15386	9259	8629	9112	9060	10957	8179	12400	7634	8318	8344	8278	8282	6855	8201
Md_he	7757	7033	7272	8960	8254	5519	9499	13713	7640	9453	5254	9213	8439	5277	6931	11582	8096	7734	8145	7986	9245	7328	10324	7201	7559	7558	7455	7308	6327	7370
Ms_he	8141	6938	6776	9007	8271	5466	8391	7640	14474	8548	5504	9175	8916	5473	7006	9058	8134	8166	9851	8376	9350	7523	8268	8638	9245	9219	9312	9124	6921	9031
Nc_he	8929	7258	7249	9778	9606	5760	12955	9453	8548	20926	5525	10498	10659	5573	7429	16719	9406	8839	9236	9238	10815	8158	13656	7763	8437	8555	8425	8368	6866	8339
Nt_454_he	5448	5040	5011	5445	5430	4849	5441	5254	5504	5525	7044	5508	5517	5030	4987	5868	5342	5494	5873	5624	5811	5455	5324	5283	5412	5521	5398	5347	4704	5375
