	Bg_he	Bo_he	Ca_he	Cf_he	Cm_he	Hs_454_he	Kf_he	Md_he	Ms_he	Nc_he	Nt_454_he	Pi_he	Rf_he	Rs_454_he	SRA_Ba_he	SRA_Cd_he	SRA_Cw_he	SRA_Es_he	SRA_Of_he	SRA_Pa2016_he	SRA_Ps_he	Zn_he	Cb_he	LS05_he	LS17_he	LS19_he	LS26_he	LS29_he	Mng_he	PG24_he
Number of genes	40139	30047	26465	50816	37803	13423	50505	49697	33306	58361	12814	66258	51911	13535	35658	216731	35151	33780	37858	37103	54347	15860	69565	32252	35231	36363	34785	33708	16310	33853
Number of genes in orthogroups	27895	26003	24081	38934	30650	12199	35544	39411	25835	39497	11855	48277	31990	12648	23608	122307	26806	25358	33454	28579	41637	14236	54052	26467	26322	28524	27367	25906	15661	26730
Number of unassigned genes	12244	4044	2384	11882	7153	1224	14961	10286	7471	18864	959	17981	19921	887	12050	94424	8345	8422	4404	8524	12710	1624	15513	5785	8909	7839	7418	7802	649	7123
Percentage of genes in orthogroups	69.5	86.5	91.0	76.6	81.1	90.9	70.4	79.3	77.6	67.7	92.5	72.9	61.6	93.4	66.2	56.4	76.3	75.1	88.4	77.0	76.6	89.8	77.7	82.1	74.7	78.4	78.7	76.9	96.0	79.0
Percentage of unassigned genes	30.5	13.5	9.0	23.4	18.9	9.1	29.6	20.7	22.4	32.3	7.5	27.1	38.4	6.6	33.8	43.6	23.7	24.9	11.6	23.0	23.4	10.2	22.3	17.9	25.3	21.6	21.3	23.1	4.0	21.0
Number of orthogroups containing species	12380	10430	10132	20002	14446	6929	18822	13713	14474	20926	7044	24088	16976	7076	10243	32550	14095	11793	14610	13551	22565	9828	24437	13773	13943	15064	15253	14800	8535	14696
Percentage of orthogroups containing species	18.1	15.2	14.8	29.2	21.1	10.1	27.5	20.0	21.1	30.5	10.3	35.2	24.8	10.3	15.0	47.5	20.6	17.2	21.3	19.8	32.9	14.3	35.7	20.1	20.4	22.0	22.3	21.6	12.5	21.5
Number of species-specific orthogroups	20	1	2	24	8	9	15	29	5	10	2	29	55	0	28	155	13	15	6	19	5	5	12	2	6	11	4	4	3	1
Number of genes in species-specific orthogroups	82	4	5	91	20	20	72	205	16	27	4	76	281	0	182	779	42	78	33	57	14	21	49	9	15	26	9	13	12	2
Percentage of genes in species-specific orthogroups	0.2	0.0	0.0	0.2	0.1	0.1	0.1	0.4	0.0	0.0	0.0	0.1	0.5	0.0	0.5	0.4	0.1	0.2	0.1	0.2	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	56127	58077	58375	48505	54061	61578	49685	54794	54033	47581	61463	44419	51531	61431	58264	35957	54412	56714	53897	54956	45942	58679	44070	54734	54564	53443	53254	53707	59972	53811
'1	6913	5319	5238	13163	8867	4334	13477	6731	10094	14936	4726	15726	12334	4590	6316	16229	9658	6626	7575	8377	15071	8415	15911	9051	9188	10637	10705	10569	7307	10475
'2	2583	2086	2020	3258	2687	1772	2732	2675	2274	3167	1592	4024	2332	1725	2019	5918	2336	2718	3014	2640	4019	853	3903	2187	2374	2216	2302	2166	734	2073
'3	1227	1159	1071	1510	1237	548	1073	1566	977	1155	450	1871	918	496	874	3168	909	1134	1598	1155	1569	245	1742	1127	1066	940	1040	988	180	955
'4	648	677	607	808	611	145	504	865	489	542	132	929	436	141	390	1870	456	534	941	510	719	88	925	592	556	480	501	447	93	493
'5	369	357	400	442	305	46	267	538	238	325	45	521	247	53	182	1138	211	269	566	297	376	60	509	300	279	278	249	231	48	230
'6	188	261	266	269	171	20	180	383	125	184	31	280	142	21	119	767	115	124	327	147	217	41	322	187	158	134	153	110	33	150
'7	113	168	159	132	127	18	129	222	59	113	16	181	122	11	52	544	84	91	205	99	160	28	215	88	82	82	81	70	27	70
'8	58	106	115	97	74	5	80	160	43	83	10	114	79	7	43	417	50	54	103	53	97	16	156	60	56	52	42	47	16	48
'9	44	60	65	52	66	11	66	101	27	64	7	76	76	8	35	354	46	32	74	47	70	15	110	31	33	38	23	30	11	31
'10	37	58	39	35	41	6	57	64	23	50	5	73	48	4	22	266	34	33	48	37	46	8	89	21	28	31	15	19	8	29
11-15	89	80	95	127	133	10	122	213	63	143	18	145	122	10	63	811	96	81	93	69	112	29	287	60	54	89	67	48	25	54
16-20	38	34	22	39	52	5	44	77	19	61	3	50	45	3	42	360	40	40	27	49	41	10	104	23	25	25	28	27	10	33
21-50	64	56	33	56	66	3	74	90	33	82	5	82	61	1	54	549	51	49	32	58	58	10	135	38	38	45	38	41	28	42
51-100	7	8	2	9	8	1	12	17	7	17	1	10	8	1	25	102	4	7	6	9	7	7	21	5	4	12	5	5	4	10
101-150	1	1	0	3	0	3	1	6	1	1	1	1	3	1	4	24	4	0	1	2	0	1	4	1	0	2	2	1	0	2
151-200	0	0	0	2	0	0	2	2	2	2	1	1	2	0	0	11	0	0	0	0	3	0	4	2	1	0	1	0	4	0
201-500	1	0	0	0	1	2	2	2	0	1	0	4	1	3	3	17	1	1	0	2	0	2	0	0	1	3	1	1	6	1
501-1000	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
