# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i Zn_Trinity.fasta -o Zn_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	TRINITY_DN55655_c0_g1_i1	369.1	795
EOG090X0007	Duplicated	TRINITY_DN55655_c0_g1_i2	369.1	795
EOG090X002Z	Complete	TRINITY_DN25402_c0_g1_i1	185.3	1399
EOG090X005G	Complete	TRINITY_DN59037_c4_g2_i4	2473.5	1234
EOG090X005Q	Duplicated	TRINITY_DN52620_c0_g1_i1	686.4	688
EOG090X005Q	Duplicated	TRINITY_DN52620_c0_g1_i2	803.5	753
EOG090X0064	Complete	TRINITY_DN58767_c0_g1_i1	3251.6	1508
EOG090X00BV	Complete	TRINITY_DN54764_c0_g1_i1	1286.5	880
EOG090X00BY	Duplicated	TRINITY_DN58519_c3_g1_i1	2767.0	1566
EOG090X00BY	Duplicated	TRINITY_DN58519_c3_g1_i3	2762.6	1562
EOG090X00BY	Duplicated	TRINITY_DN58519_c3_g1_i4	2767.3	1562
EOG090X00DN	Complete	TRINITY_DN56258_c2_g4_i1	1231.6	660
EOG090X00E0	Duplicated	TRINITY_DN52760_c0_g1_i1	942.9	857
EOG090X00E0	Duplicated	TRINITY_DN52760_c0_g1_i4	977.9	905
EOG090X00FC	Duplicated	TRINITY_DN57226_c2_g3_i10	1149.9	743
EOG090X00FC	Duplicated	TRINITY_DN57226_c2_g3_i7	1149.9	743
EOG090X00FC	Duplicated	TRINITY_DN57226_c2_g3_i9	1152.8	745
EOG090X00GC	Duplicated	TRINITY_DN56024_c9_g1_i13	1961.7	862
EOG090X00GC	Duplicated	TRINITY_DN56024_c9_g1_i3	1962.1	862
EOG090X00GC	Duplicated	TRINITY_DN56024_c9_g1_i9	1962.2	862
EOG090X00GO	Complete	TRINITY_DN43999_c0_g1_i1	2289.1	1030
EOG090X00HD	Duplicated	TRINITY_DN56365_c7_g5_i1	1674.6	977
EOG090X00HD	Duplicated	TRINITY_DN56365_c7_g5_i3	1674.8	977
EOG090X00HY	Complete	TRINITY_DN51587_c0_g1_i1	1967.4	1093
EOG090X00I4	Duplicated	TRINITY_DN58145_c2_g2_i17	1017.0	712
EOG090X00I4	Duplicated	TRINITY_DN58145_c2_g2_i21	1019.8	712
EOG090X00I4	Duplicated	TRINITY_DN58145_c2_g2_i22	1017.3	712
EOG090X00J5	Duplicated	TRINITY_DN56738_c4_g6_i1	1636.3	926
EOG090X00J5	Duplicated	TRINITY_DN56738_c4_g6_i2	1451.8	790
EOG090X00J5	Duplicated	TRINITY_DN56738_c4_g6_i5	1594.3	886
EOG090X00JH	Duplicated	TRINITY_DN55750_c7_g1_i3	584.1	314
EOG090X00JH	Duplicated	TRINITY_DN55750_c7_g1_i4	584.7	314
EOG090X00JH	Duplicated	TRINITY_DN55750_c7_g1_i7	584.8	314
EOG090X00LI	Complete	TRINITY_DN49029_c0_g1_i1	1856.1	940
EOG090X00M6	Duplicated	TRINITY_DN59213_c4_g3_i4	1671.0	963
EOG090X00M6	Duplicated	TRINITY_DN59213_c4_g3_i7	1682.5	907
EOG090X00M6	Duplicated	TRINITY_DN59213_c4_g3_i8	1681.6	906
EOG090X00MP	Duplicated	TRINITY_DN55442_c0_g1_i1	935.6	528
EOG090X00MP	Duplicated	TRINITY_DN55442_c0_g1_i2	935.5	528
EOG090X00MP	Duplicated	TRINITY_DN55442_c0_g1_i4	936.0	528
EOG090X00NX	Duplicated	TRINITY_DN56702_c3_g2_i4	217.7	246
EOG090X00NX	Duplicated	TRINITY_DN58039_c7_g2_i1	244.6	251
EOG090X00PD	Complete	TRINITY_DN51145_c0_g2_i1	818.4	839
EOG090X00QE	Duplicated	TRINITY_DN55883_c2_g10_i1	1192.6	662
EOG090X00QE	Duplicated	TRINITY_DN55883_c2_g10_i2	1306.0	716
EOG090X00QS	Duplicated	TRINITY_DN59050_c5_g1_i1	923.1	650
EOG090X00QS	Duplicated	TRINITY_DN59050_c5_g1_i2	813.4	518
EOG090X00QS	Duplicated	TRINITY_DN59050_c5_g1_i5	814.3	518
EOG090X00RF	Fragmented	TRINITY_DN44799_c0_g2_i1	494.7	341
EOG090X00RJ	Complete	TRINITY_DN55349_c0_g1_i1	1737.3	858
EOG090X00SQ	Complete	TRINITY_DN56799_c1_g9_i3	661.1	384
EOG090X00ST	Duplicated	TRINITY_DN58077_c3_g2_i13	920.8	486
EOG090X00ST	Duplicated	TRINITY_DN58077_c3_g2_i16	1070.1	639
EOG090X00TB	Complete	TRINITY_DN46415_c0_g3_i1	513.1	204
EOG090X00U2	Fragmented	TRINITY_DN54339_c0_g6_i1	308.3	179
EOG090X00U8	Duplicated	TRINITY_DN54827_c0_g1_i1	1743.5	954
EOG090X00U8	Duplicated	TRINITY_DN54827_c0_g1_i3	1788.1	985
EOG090X00U8	Duplicated	TRINITY_DN54827_c0_g1_i4	1710.2	938
EOG090X00V6	Duplicated	TRINITY_DN59460_c1_g2_i27	1783.7	865
EOG090X00V6	Duplicated	TRINITY_DN59460_c1_g2_i6	1783.9	865
EOG090X00V6	Duplicated	TRINITY_DN59460_c1_g2_i9	1785.1	865
EOG090X00VK	Complete	TRINITY_DN57594_c3_g1_i1	335.6	432
EOG090X00WU	Complete	TRINITY_DN56604_c8_g2_i3	1326.3	750
EOG090X00X3	Duplicated	TRINITY_DN57641_c2_g4_i2	1298.9	756
EOG090X00X3	Duplicated	TRINITY_DN57641_c2_g4_i3	1298.9	756
EOG090X0109	Complete	TRINITY_DN47497_c0_g3_i1	1023.6	449
EOG090X010S	Duplicated	TRINITY_DN56690_c3_g1_i17	1839.0	1234
EOG090X010S	Duplicated	TRINITY_DN56690_c3_g1_i19	1834.5	1232
EOG090X010S	Duplicated	TRINITY_DN56690_c3_g1_i3	1834.5	1232
EOG090X0131	Duplicated	TRINITY_DN57465_c4_g1_i1	856.9	647
EOG090X0131	Duplicated	TRINITY_DN57465_c4_g1_i2	833.1	670
EOG090X013U	Duplicated	TRINITY_DN57942_c4_g2_i1	403.8	593
EOG090X013U	Duplicated	TRINITY_DN57942_c4_g2_i2	424.4	607
EOG090X0141	Duplicated	TRINITY_DN57169_c7_g1_i16	527.7	278
EOG090X0141	Duplicated	TRINITY_DN57169_c7_g1_i26	527.9	278
EOG090X0141	Duplicated	TRINITY_DN57169_c7_g1_i5	526.9	278
EOG090X0143	Complete	TRINITY_DN48148_c0_g2_i1	1254.8	840
EOG090X014A	Fragmented	TRINITY_DN58574_c7_g9_i1	444.4	202
EOG090X014D	Duplicated	TRINITY_DN58830_c5_g2_i1	302.4	707
EOG090X014D	Duplicated	TRINITY_DN58830_c5_g2_i3	302.2	707
EOG090X014G	Duplicated	TRINITY_DN57643_c1_g1_i1	1524.6	825
EOG090X014G	Duplicated	TRINITY_DN57643_c1_g1_i2	1524.2	825
EOG090X014G	Duplicated	TRINITY_DN57643_c1_g1_i3	1524.6	825
EOG090X0154	Complete	TRINITY_DN24628_c0_g1_i1	987.7	612
EOG090X015P	Complete	TRINITY_DN56139_c4_g2_i1	904.0	541
EOG090X017M	Complete	TRINITY_DN52595_c0_g2_i1	609.4	392
EOG090X017N	Complete	TRINITY_DN55555_c0_g4_i1	503.8	472
EOG090X017X	Complete	TRINITY_DN56312_c2_g1_i1	1543.2	785
EOG090X0181	Complete	TRINITY_DN56354_c4_g3_i2	1091.3	668
EOG090X018J	Duplicated	TRINITY_DN57090_c1_g2_i6	778.4	489
EOG090X018J	Duplicated	TRINITY_DN57090_c1_g2_i8	778.9	489
EOG090X019S	Complete	TRINITY_DN56689_c2_g7_i2	773.0	610
EOG090X01A3	Complete	TRINITY_DN59236_c0_g4_i1	1054.3	621
EOG090X01AN	Complete	TRINITY_DN50985_c0_g4_i1	580.6	395
EOG090X01B4	Complete	TRINITY_DN58009_c4_g5_i1	1280.2	664
EOG090X01BP	Duplicated	TRINITY_DN56314_c0_g2_i1	284.4	231
EOG090X01BP	Duplicated	TRINITY_DN56314_c0_g2_i2	283.8	231
