# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i Rf_Trinity.fasta -o Rf_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	TRINITY_DN51288_c4_g3_i1	481.6	1150
EOG090X0007	Duplicated	TRINITY_DN51288_c4_g3_i3	466.2	991
EOG090X0007	Duplicated	TRINITY_DN52142_c2_g1_i2	504.0	941
EOG090X002Z	Complete	TRINITY_DN51644_c2_g3_i1	1660.2	1038
EOG090X005G	Complete	TRINITY_DN54602_c1_g3_i2	2858.1	1402
EOG090X005Q	Duplicated	TRINITY_DN54031_c2_g2_i1	1470.5	1118
EOG090X005Q	Duplicated	TRINITY_DN54031_c2_g2_i3	1469.1	1118
EOG090X0064	Duplicated	TRINITY_DN53983_c1_g1_i16	3240.6	1509
EOG090X0064	Duplicated	TRINITY_DN53983_c1_g1_i19	2890.8	1324
EOG090X00BV	Duplicated	TRINITY_DN52739_c0_g8_i1	1342.5	986
EOG090X00BV	Duplicated	TRINITY_DN52739_c0_g8_i2	1341.5	986
EOG090X00BY	Duplicated	TRINITY_DN53138_c0_g1_i3	2153.9	1312
EOG090X00BY	Duplicated	TRINITY_DN53138_c0_g1_i4	2161.6	1312
EOG090X00DN	Complete	TRINITY_DN53041_c3_g1_i3	1867.5	1043
EOG090X00E0	Complete	TRINITY_DN50284_c1_g1_i1	976.1	904
EOG090X00FC	Duplicated	TRINITY_DN53648_c1_g2_i5	1146.3	785
EOG090X00FC	Duplicated	TRINITY_DN53648_c1_g2_i7	1146.3	785
EOG090X00FC	Duplicated	TRINITY_DN53648_c1_g2_i8	1147.8	784
EOG090X00GC	Duplicated	TRINITY_DN49924_c0_g1_i1	1962.6	862
EOG090X00GC	Duplicated	TRINITY_DN49924_c0_g1_i4	1961.3	862
EOG090X00GO	Complete	TRINITY_DN50248_c7_g2_i1	2287.3	1030
EOG090X00HD	Complete	TRINITY_DN51665_c4_g3_i1	1674.9	977
EOG090X00HY	Duplicated	TRINITY_DN51645_c6_g2_i1	1969.1	1083
