Bg	0	TRINITY_DN30317_c0_g3	Apaf-caspas	8.6E-122	9.9E-122	TRINITY_DN30317_c0_g3_i1	type:3prime_partial	len:373	0	TRINITY_DN30317_c0_g3_i1.p1	APAF_DANRE	Q:1-360_H:1-359_32.703%ID_E:7.95e-51	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	1.8E-25
Bo	0	TRINITY_DN46642_c0_g3	Apaf-caspas	5.9E-46	6.6E-46	TRINITY_DN46642_c0_g3_i1	type:internal	len:138	6.8E-64	TRINITY_DN46642_c0_g3_i1.p1	APAF_MOUSE	Q:3-122_H:238-350_35.833%ID_E:1.82e-17	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	5.8E-16
boquant	0	TRINITY_DN120228_c0_g1	Apaf-caspas	0	0	TRINITY_DN120228_c0_g1_i6	type:complete	len:1399	0	TRINITY_DN120228_c0_g1_i6.p1	APAF_MOUSE	Q:1-1295_H:1-1205_26.173%ID_E:1.4e-102	Apoptotic protease-activating factor 1|NA	Metazoa	PF17908.1	APAF-1 helical domain	1.7E-29
Ca	0	TRINITY_DN28652_c5_g4	Apaf-caspas	2.2E-45	2.5E-45	TRINITY_DN28652_c5_g4_i1	type:internal	len:227	7.31E-46	TRINITY_DN28652_c5_g4_i1.p1	APAF_MOUSE	Q:1-224_H:540-771_28.814%ID_E:2.53e-20	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	5.4E-06
Cm	0	TRINITY_DN33168_c6_g4	Apaf-caspas	2.6E-83	2.9E-83	TRINITY_DN33168_c6_g4_i1	type:5prime_partial	len:435	0	TRINITY_DN33168_c6_g4_i1.p1	APAF_DANRE	Q:2-341_H:900-1220_26.184%ID_E:6.35e-20	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.23
cmquant	0	TRINITY_DN11348_c0_g1	Apaf-caspas	4.5E-59	4.9E-59	TRINITY_DN11348_c0_g1_i1	type:3prime_partial	len:172	1.71E-105	TRINITY_DN11348_c0_g1_i1.p1	APAF_DANRE	Q:1-168_H:1-178_34.831%ID_E:1.07e-18	Apoptotic protease-activating factor 1|NA	Metazoa	PF00619.21	Caspase recruitment domain	9E-22
cmquant	0	TRINITY_DN11348_c0_g2	Apaf-caspas	0	0	TRINITY_DN11348_c0_g2_i1	type:5prime_partial	len:1240	0	TRINITY_DN11348_c0_g2_i1.p1	APAF_MOUSE	Q:4-1155_H:178-1231_25.167%ID_E:1.15e-88	Apoptotic protease-activating factor 1|NA	Metazoa	PF17908.1	APAF-1 helical domain	7.1E-36
Kf	0	TRINITY_DN46174_c9_g1	Apaf-caspas	3.8E-299	4.3E-299	TRINITY_DN46174_c9_g1_i2	type:3prime_partial	len:1065	0	TRINITY_DN46174_c9_g1_i2.p1	APAF_MOUSE	Q:1-1010_H:1-1061_26.941%ID_E:9.57e-96	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	3.5E-36
LS17	0	TRINITY_DN33679_c0_g2	Apaf-caspas	1.3E-102	1.5E-102	TRINITY_DN33679_c0_g2_i1	type:3prime_partial	len:312	4.22E-168	TRINITY_DN33679_c0_g2_i1.p1	APAF_MOUSE	Q:1-311_H:1-313_33.437%ID_E:8.62e-39	Apoptotic protease-activating factor 1|NA	Metazoa	PF00619.20	Caspase recruitment domain	1.8E-22
LS19	0	TRINITY_DN41188_c3_g3	Apaf-caspas	1.9E-126	2.3E-126	TRINITY_DN41188_c3_g3_i2	type:complete	len:796	0	TRINITY_DN41188_c3_g3_i2.p1	APAF_RAT	Q:141-795_H:655-1249_23.768%ID_E:1.46e-30	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	3E-07
LS26	0	TRINITY_DN41050_c4_g1	Apaf-caspas	7.8E-227	8.7E-227	TRINITY_DN41050_c4_g1_i11	type:complete	len:607	0	TRINITY_DN41050_c4_g1_i11.p1	APAF_HUMAN	Q:2-606_H:1-598_31.502%ID_E:1.13e-77	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	1E-36
Md	0	TRINITY_DN69257_c3_g1	Apaf-caspas	1.3E-33	1.4E-33	TRINITY_DN69257_c3_g1_i1	type:internal	len:133	6.5E-75	TRINITY_DN69257_c3_g1_i1.p1	APAF_MOUSE	Q:1-132_H:178-301_33.577%ID_E:3.63e-12	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	1.7E-08
Ms	0	TRINITY_DN39653_c0_g1	Apaf-caspas	4.2E-45	5.1E-45	TRINITY_DN39653_c0_g1_i1	type:5prime_partial	len:198	4.62E-72	TRINITY_DN39653_c0_g1_i1.p1	APAF_DANRE	Q:22-197_H:1136-1257_25.397%ID_E:5.03e-07	Apoptotic protease-activating factor 1|NA	Metazoa	.	.	.
Nc	0	TRINITY_DN55832_c0_g1	Apaf-caspas	3.9E-84	4.5E-84	TRINITY_DN55832_c0_g1_i2	type:5prime_partial	len:418	0	TRINITY_DN55832_c0_g1_i2.p1	APAF_MOUSE	Q:10-324_H:922-1212_28.443%ID_E:4.14e-15	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.08
ncquant	0	TRINITY_DN115625_c0_g1	Apaf-caspas	0	0	TRINITY_DN115625_c0_g1_i10	type:complete	len:1116	0	TRINITY_DN115625_c0_g1_i10.p1	APAF_MOUSE	Q:1-1050_H:1-1095_26.79%ID_E:9.25e-93	Apoptotic protease-activating factor 1|NA	Metazoa	PF17908.1	APAF-1 helical domain	2.2E-31
Pi	0	TRINITY_DN75778_c0_g1	Apaf-caspas	1.1E-62	1.2E-62	TRINITY_DN75778_c0_g1_i1	type:internal	len:346	9.1E-150	TRINITY_DN75778_c0_g1_i1.p1	APAF_DANRE	Q:11-265_H:972-1213_28.625%ID_E:2.23e-09	Apoptotic protease-activating factor 1|NA	Metazoa	.	.	.
Rf	0	TRINITY_DN50333_c2_g1	Apaf-caspas	0	0	TRINITY_DN50333_c2_g1_i2	type:complete	len:1392	0	TRINITY_DN50333_c2_g1_i2.p1	APAF_DANRE	Q:1-1391_H:1-1257_26.06%ID_E:4.19e-111	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	9.7E-36
Zn	0	TRINITY_DN58335_c2_g4	Apaf-caspas	4.9E-145	5.5E-145	TRINITY_DN58335_c2_g4_i4	type:5prime_partial	len:823	0	TRINITY_DN58335_c2_g4_i4.p1	APAF_DANRE	Q:148-822_H:647-1257_23.703%ID_E:5.38e-29	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	1E-05
.	.	BGER008254-RA	Apaf-caspas	8E-114	2E-74	.	.	.	3.36E-102	.	APAF_DANRE	2.45E-23	Apoptotic protease-activating factor 1|NA	.	.	.	.
.	.	Znev_00246	Apaf-caspas	2.8E-168	3.1E-168	.	.	.	0	.	APAF_DANRE	3.42E-60	Apoptotic protease-activating factor 1|NA	.	.	.	.
.	.	Znev_00248	Apaf-caspas	9.2E-109	1E-108	.	.	.	0	.	APAF_DANRE	9.56E-22	Apoptotic protease-activating factor 1|NA	.	.	.	.
.	.	Znev_15243	Apaf-caspas	1.3E-33	1.4E-33	.	.	.	6.31E-47	.	APAF_MOUSE	1.93E-07	Apoptotic protease-activating factor 1|NA	.	.	.	.
Bg	evidential	TRINITY_DN30317_c0_g2_i1	Apaf-caspas	9E-94	9.9E-94	aalen=230	94%	partial3;	1.92E-77	TRINITY_DN30317_c0_g2_i1.p1	APAF_DANRE	Q:3-236_H:369-600_26.86%ID_E:1.12e-23	Apoptotic protease-activating factor 1|NA	Metazoa	.	.	.
Bg	evidential	TRINITY_DN30317_c0_g3_i1	Apaf-caspas	6.8E-122	7.8E-122	aalen=372	77%	partial3;	0	TRINITY_DN30317_c0_g3_i1.p1	APAF_DANRE	Q:1-360_H:1-359_32.703%ID_E:7.95e-51	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	1.8E-25
Bg	evidential	TRINITY_DN42222_c4_g1_i3	Apaf-caspas	6.6E-46	7.7E-46	aalen=205	85%	partial5;	3.02E-59	TRINITY_DN42222_c4_g1_i3.p1	APAF_DANRE	Q:19-205_H:1131-1257_26.531%ID_E:6.58e-08	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.0048
Bg	evidential	TRINITY_DN42222_c4_g3_i1	Apaf-caspas	1.4E-30	1.5E-30	aalen=277	99%	partial;	4.8E-71	TRINITY_DN42222_c4_g3_i1.p1	APAF_DANRE	Q:86-276_H:837-1019_26.804%ID_E:4.4e-09	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	3.8E-06
Bo	evidential	TRINITY_DN34733_c0_g1_i1	Apaf-caspas	7.1E-14	7.9E-14	aalen=108	99%	partial;	3.35E-46	TRINITY_DN34733_c0_g1_i1.p1	APAF_MOUSE	Q:1-108_H:894-992_30.556%ID_E:1.92e-07	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.0038
Bo	evidential	TRINITY_DN46642_c0_g3_i1	Apaf-caspas	4.3E-41	4.7E-41	aalen=124	90%	partial3;	5.48E-57	TRINITY_DN46642_c0_g3_i1.p1	APAF_MOUSE	Q:3-122_H:238-350_35.833%ID_E:1.82e-17	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	5.8E-16
Ca	evidential	TRINITY_DN28652_c5_g3_i1	Apaf-caspas	3.5E-18	3.8E-18	aalen=112	99%	partial;	1.38E-53	TRINITY_DN28652_c5_g3_i1.p1	APAF_DANRE	Q:2-109_H:898-1002_29.091%ID_E:5.27e-07	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.16
Ca	evidential	TRINITY_DN28652_c5_g4_i1	Apaf-caspas	1.6E-45	1.7E-45	aalen=226	100%	partial;	7.31E-46	TRINITY_DN28652_c5_g4_i1.p1	APAF_MOUSE	Q:1-224_H:540-771_28.814%ID_E:2.53e-20	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	5.4E-06
Cm	evidential	TRINITY_DN33168_c6_g1_i1	Apaf-caspas	1.7E-41	1.9E-41	aalen=135	76%	partial3;	2.96E-79	TRINITY_DN33168_c6_g1_i1.p1	APAF_DANRE	Q:1-135_H:1-144_34.028%ID_E:6.19e-13	Apoptotic protease-activating factor 1|NA	Metazoa	PF00619.20	Caspase recruitment domain	4.5E-22
Cm	evidential	TRINITY_DN33168_c6_g3_i1	Apaf-caspas	1.4E-67	1.5E-67	aalen=173	99%	partial;	2.31E-97	TRINITY_DN33168_c6_g3_i1.p1	APAF_MOUSE	Q:1-172_H:240-404_34.302%ID_E:1.85e-26	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	2.5E-21
Cm	evidential	TRINITY_DN33168_c6_g4_i1	Apaf-caspas	1.9E-83	2.1E-83	aalen=434	71%	partial5;	0	TRINITY_DN33168_c6_g4_i1.p1	APAF_DANRE	Q:2-341_H:900-1220_26.184%ID_E:6.35e-20	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.23
Cm	evidential	TRINITY_DN33168_c6_g5_i1	Apaf-caspas	1.2E-83	1.3E-83	aalen=249	94%	partial3;	4.85E-67	TRINITY_DN33168_c6_g5_i1.p1	APAF_DANRE	Q:3-261_H:405-663_27.473%ID_E:5.73e-27	Apoptotic protease-activating factor 1|NA	Metazoa	.	.	.
Kf	evidential	TRINITY_DN46174_c9_g1_i2	Apaf-caspas	2.4E-299	2.6E-299	aalen=1064	95%	partial3;	0	TRINITY_DN46174_c9_g1_i2.p1	APAF_MOUSE	Q:1-1010_H:1-1061_26.941%ID_E:9.57e-96	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	3.5E-36
Kf	evidential	TRINITY_DN46174_c9_g2_i2	Apaf-caspas	1.2E-64	1.4E-64	aalen=338	18%	complete-utrbad;	4.29E-171	TRINITY_DN46174_c9_g2_i2.p1	APAF_DANRE	Q:1-240_H:987-1213_27.953%ID_E:7.17e-13	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.13
LS17	evidential	TRINITY_DN33679_c0_g1_i1	Apaf-caspas	1E-31	1.1E-31	aalen=105	92%	partial3;	5.88E-50	TRINITY_DN33679_c0_g1_i1.p1	APAF_HUMAN	Q:1-112_H:315-419_33.929%ID_E:1.96e-16	Apoptotic protease-activating factor 1|NA	Metazoa	PF00931.21	NB-ARC domain	4.9E-11
LS17	evidential	TRINITY_DN33679_c0_g2_i1	Apaf-caspas	9.6E-103	1.1E-102	aalen=311	85%	partial3;	4.22E-168	TRINITY_DN33679_c0_g2_i1.p1	APAF_MOUSE	Q:1-311_H:1-313_33.437%ID_E:8.62e-39	Apoptotic protease-activating factor 1|NA	Metazoa	PF00619.20	Caspase recruitment domain	1.8E-22
LS17	evidential	TRINITY_DN33679_c0_g3_i1	Apaf-caspas	5.1E-76	5.6E-76	aalen=217	99%	partial3;	2.83E-65	TRINITY_DN33679_c0_g3_i1.p1	APAF_RAT	Q:1-217_H:414-630_29.31%ID_E:1.45e-15	Apoptotic protease-activating factor 1|NA	Metazoa	.	.	.
LS17	evidential	TRINITY_DN39222_c4_g1_i1	Apaf-caspas	1.7E-36	1.9E-36	aalen=238	99%	partial;	3.45E-99	TRINITY_DN39222_c4_g1_i1.p1	APAF_DANRE	Q:21-204_H:857-1036_31.746%ID_E:6.06e-13	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	0.0001
LS17	evidential	TRINITY_DN39222_c4_g3_i1	Apaf-caspas	6E-52	7E-52	aalen=241	56%	complete-utrpoor;	8.87E-93	TRINITY_DN39222_c4_g3_i1.p1	APAF_DANRE	Q:7-256_H:1072-1257_24.8%ID_E:4.25e-08	Apoptotic protease-activating factor 1|NA	Metazoa	.	.	.
LS19	evidential	TRINITY_DN41188_c3_g3_i1	Apaf-caspas	1.2E-126	1.4E-126	aalen=795	72%	complete;	0	TRINITY_DN41188_c3_g3_i1.p1	APAF_RAT	Q:141-795_H:655-1249_23.768%ID_E:1.46e-30	Apoptotic protease-activating factor 1|NA	Metazoa	PF00400.31	WD domain, G-beta repeat	3E-07
