# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i Kf_Trinity.fasta -o Kf_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	TRINITY_DN40576_c0_g2_i1	591.9	1411
EOG090X0007	Duplicated	TRINITY_DN50119_c1_g1_i1	691.4	1397
EOG090X0007	Duplicated	TRINITY_DN50119_c1_g1_i2	691.5	1421
EOG090X002Z	Complete	TRINITY_DN46109_c7_g6_i1	542.0	330
EOG090X005G	Duplicated	TRINITY_DN47519_c0_g1_i1	2854.3	1397
EOG090X005G	Duplicated	TRINITY_DN47519_c0_g1_i2	2475.2	1178
EOG090X005Q	Complete	TRINITY_DN50391_c7_g1_i4	1455.6	1118
EOG090X0064	Complete	TRINITY_DN48882_c3_g7_i1	3256.1	1508
EOG090X00BV	Complete	TRINITY_DN50038_c5_g2_i1	1353.1	917
EOG090X00BY	Duplicated	TRINITY_DN51048_c3_g1_i1	2924.9	1645
EOG090X00BY	Duplicated	TRINITY_DN51048_c3_g1_i4	2924.7	1645
EOG090X00BY	Duplicated	TRINITY_DN51048_c3_g1_i7	2924.9	1645
EOG090X00DN	Complete	TRINITY_DN46752_c2_g6_i1	754.7	398
EOG090X00E0	Complete	TRINITY_DN46210_c0_g4_i1	975.5	905
EOG090X00FC	Duplicated	TRINITY_DN46922_c0_g1_i14	1147.2	770
EOG090X00FC	Duplicated	TRINITY_DN46922_c0_g1_i16	1149.4	786
EOG090X00FC	Duplicated	TRINITY_DN46922_c0_g1_i17	1147.5	770
EOG090X00GC	Duplicated	TRINITY_DN48987_c6_g5_i1	1961.8	862
EOG090X00GC	Duplicated	TRINITY_DN48987_c6_g5_i2	1961.9	862
EOG090X00GO	Complete	TRINITY_DN48457_c6_g3_i1	2287.8	1030
EOG090X00HD	Duplicated	TRINITY_DN47590_c12_g1_i1	1668.9	985
EOG090X00HD	Duplicated	TRINITY_DN47590_c12_g1_i8	1672.0	985
