# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i Cm_Trinity.fasta -o Cm_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	TRINITY_DN31098_c0_g2_i1	216.7	492
EOG090X0007	Duplicated	TRINITY_DN34192_c8_g2_i1	243.6	1014
EOG090X002Z	Duplicated	TRINITY_DN28863_c0_g3_i1	680.3	358
EOG090X002Z	Duplicated	TRINITY_DN28863_c0_g4_i1	765.5	360
EOG090X005G	Complete	TRINITY_DN32198_c0_g1_i1	3066.8	1741
EOG090X005Q	Duplicated	TRINITY_DN32824_c7_g1_i2	468.2	1204
EOG090X005Q	Duplicated	TRINITY_DN32824_c7_g1_i5	466.1	1204
EOG090X0064	Complete	TRINITY_DN32007_c1_g1_i1	3251.7	1508
EOG090X00BV	Complete	TRINITY_DN31115_c0_g2_i1	1328.1	903
EOG090X00BY	Duplicated	TRINITY_DN33150_c5_g1_i12	2923.3	1646
EOG090X00BY	Duplicated	TRINITY_DN33150_c5_g1_i6	2906.3	1646
EOG090X00BY	Duplicated	TRINITY_DN33150_c5_g1_i7	2926.4	1642
EOG090X00DN	Complete	TRINITY_DN35034_c4_g1_i5	1423.0	801
EOG090X00E0	Complete	TRINITY_DN34513_c4_g1_i2	969.7	908
EOG090X00FC	Duplicated	TRINITY_DN33928_c1_g2_i18	1161.5	773
EOG090X00FC	Duplicated	TRINITY_DN33928_c1_g2_i19	1159.0	776
EOG090X00FC	Duplicated	TRINITY_DN33928_c1_g2_i20	1161.3	779
EOG090X00GC	Duplicated	TRINITY_DN35383_c7_g1_i1	1962.4	861
EOG090X00GC	Duplicated	TRINITY_DN35383_c7_g1_i3	1962.8	861
EOG090X00GO	Duplicated	TRINITY_DN28483_c0_g1_i1	2288.0	1030
EOG090X00GO	Duplicated	TRINITY_DN28483_c0_g1_i2	2288.0	1030
EOG090X00HD	Duplicated	TRINITY_DN32384_c0_g2_i1	1460.2	847
EOG090X00HD	Duplicated	TRINITY_DN32384_c0_g2_i4	1675.8	977
EOG090X00HY	Duplicated	TRINITY_DN32259_c0_g1_i1	1975.2	1094
EOG090X00HY	Duplicated	TRINITY_DN32259_c0_g1_i2	1842.9	1027
EOG090X00I4	Complete	TRINITY_DN32302_c0_g1_i3	705.4	516
EOG090X00J5	Complete	TRINITY_DN33382_c3_g5_i1	1628.0	926
EOG090X00JH	Duplicated	TRINITY_DN33473_c8_g2_i1	585.0	313
EOG090X00JH	Duplicated	TRINITY_DN33473_c8_g2_i2	584.7	325
EOG090X00JH	Duplicated	TRINITY_DN33473_c8_g2_i9	584.7	325
EOG090X00LI	Complete	TRINITY_DN34649_c5_g1_i1	1855.7	940
EOG090X00M6	Duplicated	TRINITY_DN34812_c3_g1_i10	1686.5	904
EOG090X00M6	Duplicated	TRINITY_DN34812_c3_g1_i2	1686.4	904
EOG090X00M6	Duplicated	TRINITY_DN34812_c3_g1_i3	1686.4	904
EOG090X00MP	Duplicated	TRINITY_DN31399_c0_g1_i1	705.3	331
EOG090X00MP	Duplicated	TRINITY_DN31399_c0_g1_i2	710.1	331
EOG090X00NX	Duplicated	TRINITY_DN31934_c0_g1_i1	220.3	246
EOG090X00NX	Duplicated	TRINITY_DN33045_c7_g6_i1	227.5	252
EOG090X00PD	Complete	TRINITY_DN33246_c2_g1_i1	295.3	292
EOG090X00QE	Complete	TRINITY_DN28968_c0_g1_i1	783.0	480
EOG090X00QS	Fragmented	TRINITY_DN29835_c0_g3_i1	296.9	164
EOG090X00RF	Fragmented	TRINITY_DN28579_c0_g3_i1	363.7	434
EOG090X00RJ	Complete	TRINITY_DN32762_c6_g1_i1	1737.5	858
EOG090X00SQ	Fragmented	TRINITY_DN32649_c4_g7_i1	267.4	169
EOG090X00ST	Duplicated	TRINITY_DN35101_c4_g4_i2	238.6	513
EOG090X00ST	Duplicated	TRINITY_DN35448_c5_g1_i3	215.8	462
EOG090X00ST	Duplicated	TRINITY_DN35448_c5_g1_i9	237.0	510
EOG090X00TB	Fragmented	TRINITY_DN26593_c0_g1_i1	334.5	131
EOG090X00U2	Fragmented	TRINITY_DN34460_c6_g8_i1	248.9	303
EOG090X00U8	Duplicated	TRINITY_DN35423_c2_g3_i4	1333.2	686
EOG090X00U8	Duplicated	TRINITY_DN35423_c2_g3_i5	1333.2	686
EOG090X00U8	Duplicated	TRINITY_DN35423_c2_g3_i7	1332.7	686
EOG090X00V6	Duplicated	TRINITY_DN34591_c2_g2_i4	1782.4	865
EOG090X00V6	Duplicated	TRINITY_DN34591_c2_g2_i7	1782.1	865
EOG090X00V6	Duplicated	TRINITY_DN34591_c2_g4_i1	1545.7	754
EOG090X00VK	Fragmented	TRINITY_DN25386_c0_g2_i1	259.9	137
EOG090X00WU	Complete	TRINITY_DN34039_c3_g5_i1	759.5	441
EOG090X00X3	Duplicated	TRINITY_DN33946_c6_g1_i2	723.1	717
EOG090X00X3	Duplicated	TRINITY_DN33946_c6_g1_i5	722.7	717
EOG090X0109	Complete	TRINITY_DN33410_c0_g1_i1	1525.2	753
EOG090X010S	Duplicated	TRINITY_DN34242_c7_g1_i4	1839.6	1236
EOG090X010S	Duplicated	TRINITY_DN34242_c7_g1_i5	1838.3	1236
EOG090X0131	Duplicated	TRINITY_DN33284_c9_g1_i1	498.6	335
EOG090X0131	Duplicated	TRINITY_DN33284_c9_g1_i2	586.3	411
EOG090X013U	Complete	TRINITY_DN33357_c8_g11_i1	437.2	512
EOG090X0141	Fragmented	TRINITY_DN35305_c4_g4_i1	282.7	137
EOG090X0143	Complete	TRINITY_DN32910_c5_g1_i1	1022.1	842
EOG090X014A	Fragmented	TRINITY_DN34048_c4_g5_i2	406.8	181
EOG090X014D	Complete	TRINITY_DN32860_c9_g1_i2	1084.4	744
EOG090X014G	Duplicated	TRINITY_DN35859_c2_g1_i2	1532.3	825
EOG090X014G	Duplicated	TRINITY_DN35859_c2_g1_i3	1531.2	825
EOG090X014G	Duplicated	TRINITY_DN35859_c2_g1_i4	1529.5	843
EOG090X0154	Complete	TRINITY_DN34842_c4_g2_i2	1127.0	758
EOG090X015P	Complete	TRINITY_DN34866_c5_g6_i8	322.4	694
EOG090X017M	Complete	TRINITY_DN32581_c6_g5_i1	577.8	389
EOG090X017N	Fragmented	TRINITY_DN26754_c0_g4_i1	350.3	244
