# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i Bo_Trinity.fasta -o Bo_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	TRINITY_DN47388_c0_g2_i1	275.3	497
EOG090X0007	Duplicated	TRINITY_DN56062_c3_g7_i1	266.2	608
EOG090X002Z	Fragmented	TRINITY_DN31195_c0_g1_i1	204.3	98
EOG090X005G	Duplicated	TRINITY_DN53465_c0_g1_i2	3073.9	1717
EOG090X005G	Duplicated	TRINITY_DN53465_c0_g1_i4	2939.3	1584
EOG090X005G	Duplicated	TRINITY_DN53465_c0_g1_i5	3073.2	1736
EOG090X005Q	Duplicated	TRINITY_DN55453_c1_g1_i1	499.3	1180
EOG090X005Q	Duplicated	TRINITY_DN55453_c1_g1_i7	499.6	1179
EOG090X005Q	Duplicated	TRINITY_DN56385_c5_g5_i1	457.1	565
EOG090X0064	Complete	TRINITY_DN57047_c0_g2_i2	3259.4	1508
EOG090X00BV	Complete	TRINITY_DN48962_c0_g4_i1	1082.3	658
EOG090X00BY	Duplicated	TRINITY_DN57511_c3_g1_i2	2926.8	1646
EOG090X00BY	Duplicated	TRINITY_DN57511_c3_g1_i6	2937.8	1646
EOG090X00BY	Duplicated	TRINITY_DN57511_c3_g1_i7	2921.1	1642
EOG090X00DN	Complete	TRINITY_DN56058_c6_g4_i1	1107.4	584
EOG090X00E0	Complete	TRINITY_DN52208_c0_g1_i2	977.6	916
EOG090X00FC	Duplicated	TRINITY_DN56129_c0_g1_i1	1153.7	784
EOG090X00FC	Duplicated	TRINITY_DN56129_c0_g1_i2	1155.1	787
EOG090X00GC	Duplicated	TRINITY_DN55540_c4_g2_i2	1960.2	861
EOG090X00GC	Duplicated	TRINITY_DN55540_c4_g2_i4	1960.0	861
EOG090X00GO	Complete	TRINITY_DN54051_c0_g2_i1	2290.7	1030
EOG090X00HD	Complete	TRINITY_DN45197_c0_g1_i1	773.8	434
EOG090X00HY	Complete	TRINITY_DN53120_c0_g1_i1	1971.3	1083
EOG090X00I4	Duplicated	TRINITY_DN55831_c4_g1_i1	1023.9	712
EOG090X00I4	Duplicated	TRINITY_DN55831_c4_g1_i3	1024.8	712
EOG090X00I4	Duplicated	TRINITY_DN55831_c4_g1_i5	1023.8	712
EOG090X00J5	Complete	TRINITY_DN54286_c0_g1_i1	1009.0	597
EOG090X00JH	Complete	TRINITY_DN55674_c8_g1_i2	586.4	325
EOG090X00LI	Complete	TRINITY_DN55682_c8_g1_i1	1857.9	940
EOG090X00M6	Fragmented	TRINITY_DN34758_c0_g1_i1	426.1	206
EOG090X00MP	Duplicated	TRINITY_DN53078_c0_g1_i2	955.4	528
EOG090X00MP	Duplicated	TRINITY_DN53078_c0_g1_i4	956.3	528
EOG090X00MP	Duplicated	TRINITY_DN53078_c0_g1_i6	951.3	525
EOG090X00NX	Complete	TRINITY_DN56813_c6_g2_i2	228.6	248
EOG090X00PD	Fragmented	TRINITY_DN64304_c0_g1_i1	154.8	101
EOG090X00QE	Fragmented	TRINITY_DN48679_c0_g4_i1	230.3	120
EOG090X00QS	Complete	TRINITY_DN48809_c0_g2_i1	379.8	270
EOG090X00RF	Duplicated	TRINITY_DN55393_c0_g3_i1	806.7	1453
EOG090X00RF	Duplicated	TRINITY_DN55393_c0_g3_i3	806.6	1453
EOG090X00RJ	Duplicated	TRINITY_DN53110_c0_g1_i1	1743.2	866
EOG090X00RJ	Duplicated	TRINITY_DN53110_c0_g1_i2	1743.0	866
EOG090X00SQ	Fragmented	TRINITY_DN57371_c3_g1_i2	240.8	130
EOG090X00ST	Duplicated	TRINITY_DN56008_c10_g2_i1	199.2	505
EOG090X00ST	Duplicated	TRINITY_DN57178_c0_g1_i1	217.0	608
EOG090X00ST	Duplicated	TRINITY_DN57178_c0_g1_i2	217.0	608
EOG090X00TB	Missing
EOG090X00U2	Fragmented	TRINITY_DN47972_c0_g2_i1	208.6	280
EOG090X00U8	Complete	TRINITY_DN55968_c0_g1_i1	1796.4	985
EOG090X00V6	Fragmented	TRINITY_DN59058_c17_g5_i2	734.0	357
EOG090X00VK	Fragmented	TRINITY_DN42511_c0_g2_i1	514.0	275
EOG090X00WU	Fragmented	TRINITY_DN46303_c0_g1_i1	224.8	129
EOG090X00X3	Complete	TRINITY_DN50857_c0_g2_i1	759.3	470
EOG090X0109	Complete	TRINITY_DN55354_c3_g1_i1	213.6	557
EOG090X010S	Duplicated	TRINITY_DN57025_c1_g1_i1	1321.4	880
EOG090X010S	Duplicated	TRINITY_DN57025_c1_g1_i2	1322.8	880
EOG090X0131	Complete	TRINITY_DN56306_c6_g2_i2	113.2	428
EOG090X013U	Complete	TRINITY_DN50483_c0_g2_i1	144.6	285
EOG090X0141	Complete	TRINITY_DN57582_c4_g5_i1	509.6	260
EOG090X0143	Complete	TRINITY_DN50073_c0_g2_i1	600.9	382
EOG090X014A	Complete	TRINITY_DN51101_c0_g2_i1	976.9	464
EOG090X014D	Duplicated	TRINITY_DN56590_c0_g1_i3	1116.2	744
EOG090X014D	Duplicated	TRINITY_DN56590_c0_g1_i4	1025.9	683
EOG090X014G	Complete	TRINITY_DN57519_c3_g3_i1	1522.8	825
EOG090X0154	Fragmented	TRINITY_DN47401_c0_g7_i1	282.2	134
EOG090X015P	Complete	TRINITY_DN53441_c0_g1_i2	212.2	417
EOG090X017M	Complete	TRINITY_DN36528_c0_g2_i1	148.4	275
EOG090X017N	Fragmented	TRINITY_DN58160_c4_g1_i1	198.7	146
