# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i Ms_Trinity.fasta -o Ms_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Duplicated	TRINITY_DN35429_c0_g5_i1	438.5	886
EOG090X0007	Duplicated	TRINITY_DN35429_c0_g5_i2	497.1	933
EOG090X002Z	Fragmented	TRINITY_DN8035_c0_g1_i2	119.5	85
EOG090X005G	Fragmented	TRINITY_DN34878_c0_g5_i1	715.0	285
EOG090X005Q	Complete	TRINITY_DN32637_c0_g1_i1	1334.3	1053
EOG090X0064	Complete	TRINITY_DN38905_c10_g1_i1	3253.3	1508
EOG090X00BV	Duplicated	TRINITY_DN27367_c0_g3_i1	645.4	451
EOG090X00BV	Duplicated	TRINITY_DN37360_c6_g4_i3	552.8	667
EOG090X00BY	Duplicated	TRINITY_DN38523_c4_g1_i3	2792.7	1580
EOG090X00BY	Duplicated	TRINITY_DN38523_c4_g1_i7	2794.2	1583
EOG090X00DN	Fragmented	TRINITY_DN37940_c8_g15_i1	306.2	185
EOG090X00E0	Duplicated	TRINITY_DN36738_c5_g1_i16	918.7	951
EOG090X00E0	Duplicated	TRINITY_DN36738_c5_g1_i7	918.7	951
EOG090X00E0	Duplicated	TRINITY_DN36738_c5_g1_i8	918.8	951
EOG090X00FC	Duplicated	TRINITY_DN37490_c0_g1_i12	1147.1	781
EOG090X00FC	Duplicated	TRINITY_DN37490_c0_g1_i8	1146.7	781
EOG090X00FC	Duplicated	TRINITY_DN37490_c0_g1_i9	1146.6	781
EOG090X00GC	Duplicated	TRINITY_DN38933_c3_g1_i4	1960.8	862
EOG090X00GC	Duplicated	TRINITY_DN38933_c3_g1_i6	1899.2	851
EOG090X00GO	Duplicated	TRINITY_DN38142_c2_g1_i1	2287.2	1030
EOG090X00GO	Duplicated	TRINITY_DN38142_c2_g1_i2	2288.0	1030
EOG090X00GO	Duplicated	TRINITY_DN38142_c2_g1_i6	2286.4	1030
EOG090X00HD	Complete	TRINITY_DN37146_c5_g2_i1	1670.3	975
EOG090X00HY	Complete	TRINITY_DN27163_c0_g1_i1	1967.2	1095
EOG090X00I4	Duplicated	TRINITY_DN39456_c9_g1_i1	1018.6	698
EOG090X00I4	Duplicated	TRINITY_DN39456_c9_g1_i4	1018.6	698
EOG090X00J5	Complete	TRINITY_DN37663_c7_g10_i1	358.4	619
EOG090X00JH	Duplicated	TRINITY_DN38418_c7_g1_i1	580.2	333
EOG090X00JH	Duplicated	TRINITY_DN38418_c7_g1_i2	580.2	333
EOG090X00LI	Complete	TRINITY_DN36928_c6_g2_i2	1163.2	587
EOG090X00M6	Fragmented	TRINITY_DN37940_c2_g3_i1	481.6	255
EOG090X00MP	Duplicated	TRINITY_DN37925_c0_g1_i3	936.5	528
EOG090X00MP	Duplicated	TRINITY_DN37925_c0_g1_i4	936.2	528
EOG090X00NX	Duplicated	TRINITY_DN34469_c0_g1_i1	226.2	254
EOG090X00NX	Duplicated	TRINITY_DN35845_c0_g1_i2	219.5	247
EOG090X00PD	Complete	TRINITY_DN39065_c10_g2_i2	590.9	604
EOG090X00QE	Fragmented	TRINITY_DN36973_c3_g4_i1	352.3	215
EOG090X00QS	Fragmented	TRINITY_DN3530_c0_g1_i1	171.2	127
EOG090X00RF	Duplicated	TRINITY_DN38096_c8_g1_i1	401.9	660
EOG090X00RF	Duplicated	TRINITY_DN38096_c8_g1_i2	416.6	718
EOG090X00RF	Duplicated	TRINITY_DN38096_c8_g1_i3	401.8	638
EOG090X00RJ	Duplicated	TRINITY_DN37813_c5_g2_i2	1733.4	858
EOG090X00RJ	Duplicated	TRINITY_DN37813_c5_g2_i3	1733.0	858
EOG090X00SQ	Complete	TRINITY_DN38863_c3_g2_i3	681.7	403
EOG090X00ST	Complete	TRINITY_DN38097_c7_g3_i13	639.9	400
EOG090X00TB	Complete	TRINITY_DN37227_c7_g1_i1	1654.5	1066
EOG090X00U2	Fragmented	TRINITY_DN37011_c8_g1_i1	220.5	333
EOG090X00U8	Duplicated	TRINITY_DN37986_c1_g1_i1	1747.7	983
EOG090X00U8	Duplicated	TRINITY_DN37986_c1_g1_i2	1746.0	983
EOG090X00V6	Fragmented	TRINITY_DN39369_c10_g2_i2	1145.4	548
EOG090X00VK	Fragmented	TRINITY_DN28436_c0_g1_i1	169.1	162
EOG090X00WU	Complete	TRINITY_DN37186_c4_g8_i1	914.5	489
EOG090X00X3	Complete	TRINITY_DN36934_c6_g3_i1	798.2	479
EOG090X0109	Complete	TRINITY_DN33208_c0_g3_i1	841.8	451
EOG090X010S	Duplicated	TRINITY_DN38069_c1_g1_i3	1831.1	1241
EOG090X010S	Duplicated	TRINITY_DN38069_c1_g1_i7	1828.2	1237
EOG090X0131	Complete	TRINITY_DN22775_c0_g1_i2	847.1	647
EOG090X013U	Complete	TRINITY_DN24272_c0_g2_i1	394.9	340
EOG090X0141	Missing
EOG090X0143	Fragmented	TRINITY_DN34270_c0_g2_i2	576.9	336
EOG090X014A	Missing
EOG090X014D	Complete	TRINITY_DN30636_c0_g2_i1	409.8	276
EOG090X014G	Complete	TRINITY_DN37078_c10_g1_i1	1518.7	825
EOG090X0154	Duplicated	TRINITY_DN29208_c0_g1_i2	391.6	258
EOG090X0154	Duplicated	TRINITY_DN29208_c0_g2_i1	378.3	203
EOG090X0154	Duplicated	TRINITY_DN29208_c0_g3_i1	352.5	240
