# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /home/she/opt/busco-master/scripts/run_BUSCO.py -i Md_Trinity.fasta -o Md_busco -l /home/she/database/arthropoda_odb9/ -m transcriptome -c 20
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Complete	TRINITY_DN68397_c11_g3_i1	475.1	921
EOG090X002Z	Fragmented	TRINITY_DN49712_c0_g1_i1	108.5	80
EOG090X005G	Complete	TRINITY_DN68273_c15_g4_i1	2752.7	1309
EOG090X005Q	Complete	TRINITY_DN65286_c0_g4_i1	1126.6	917
EOG090X0064	Duplicated	TRINITY_DN69975_c10_g4_i1	3237.0	1486
EOG090X0064	Duplicated	TRINITY_DN69975_c10_g4_i5	3255.4	1508
EOG090X00BV	Complete	TRINITY_DN52141_c0_g1_i1	1344.3	916
EOG090X00BY	Complete	TRINITY_DN68850_c8_g1_i4	2929.8	1642
EOG090X00DN	Complete	TRINITY_DN68311_c7_g7_i1	741.8	376
EOG090X00E0	Complete	TRINITY_DN71401_c8_g2_i1	502.4	507
EOG090X00FC	Duplicated	TRINITY_DN71005_c11_g1_i4	1158.4	804
EOG090X00FC	Duplicated	TRINITY_DN71005_c11_g1_i7	1160.1	804
EOG090X00FC	Duplicated	TRINITY_DN71005_c11_g1_i9	1158.3	804
EOG090X00GC	Duplicated	TRINITY_DN70210_c4_g5_i1	1961.4	861
EOG090X00GC	Duplicated	TRINITY_DN70210_c4_g5_i2	1961.4	861
EOG090X00GC	Duplicated	TRINITY_DN70210_c4_g5_i3	1961.5	861
EOG090X00GO	Complete	TRINITY_DN70822_c5_g1_i1	2284.0	1030
EOG090X00HD	Duplicated	TRINITY_DN70194_c3_g3_i1	1674.2	977
EOG090X00HD	Duplicated	TRINITY_DN70194_c3_g3_i12	1674.5	977
EOG090X00HD	Duplicated	TRINITY_DN70194_c3_g3_i4	1618.3	960
EOG090X00HY	Complete	TRINITY_DN66063_c0_g1_i1	1959.1	1083
EOG090X00I4	Duplicated	TRINITY_DN68857_c10_g2_i10	1024.4	713
EOG090X00I4	Duplicated	TRINITY_DN68857_c10_g2_i3	1024.6	713
EOG090X00I4	Duplicated	TRINITY_DN68857_c10_g2_i8	1024.4	713
EOG090X00J5	Complete	TRINITY_DN68257_c14_g3_i1	842.2	535
EOG090X00JH	Duplicated	TRINITY_DN69007_c7_g7_i2	585.9	337
EOG090X00JH	Duplicated	TRINITY_DN69007_c7_g7_i3	587.4	314
EOG090X00LI	Duplicated	TRINITY_DN68165_c9_g4_i3	1859.4	941
EOG090X00LI	Duplicated	TRINITY_DN68165_c9_g4_i4	1859.9	941
EOG090X00M6	Duplicated	TRINITY_DN70703_c7_g2_i3	562.6	324
EOG090X00M6	Duplicated	TRINITY_DN70703_c7_g2_i6	563.4	306
EOG090X00M6	Duplicated	TRINITY_DN70703_c7_g2_i8	561.4	324
EOG090X00MP	Duplicated	TRINITY_DN65890_c0_g1_i2	940.8	528
EOG090X00MP	Duplicated	TRINITY_DN65890_c0_g1_i3	941.3	528
EOG090X00MP	Duplicated	TRINITY_DN65890_c0_g1_i4	941.5	528
EOG090X00NX	Duplicated	TRINITY_DN69450_c9_g1_i1	224.7	271
EOG090X00NX	Duplicated	TRINITY_DN69450_c9_g1_i2	224.7	252
EOG090X00PD	Complete	TRINITY_DN45939_c0_g2_i1	571.1	529
EOG090X00QE	Complete	TRINITY_DN71108_c1_g12_i1	783.4	483
EOG090X00QS	Fragmented	TRINITY_DN62331_c0_g3_i1	328.2	185
EOG090X00RF	Complete	TRINITY_DN69397_c5_g2_i1	510.6	493
EOG090X00RJ	Complete	TRINITY_DN69995_c12_g1_i4	1736.3	879
EOG090X00SQ	Complete	TRINITY_DN66612_c0_g1_i2	1040.7	655
EOG090X00ST	Duplicated	TRINITY_DN67446_c0_g1_i2	237.3	508
EOG090X00ST	Duplicated	TRINITY_DN71607_c7_g1_i2	228.2	512
EOG090X00TB	Fragmented	TRINITY_DN42574_c0_g1_i1	181.0	108
EOG090X00U2	Fragmented	TRINITY_DN69039_c2_g8_i1	272.7	159
EOG090X00U8	Complete	TRINITY_DN67737_c0_g1_i1	1784.8	985
EOG090X00V6	Duplicated	TRINITY_DN70883_c2_g2_i1	1524.9	862
EOG090X00V6	Duplicated	TRINITY_DN70883_c2_g2_i2	1524.8	862
EOG090X00VK	Fragmented	TRINITY_DN53209_c0_g2_i1	394.6	213
EOG090X00WU	Complete	TRINITY_DN69941_c11_g3_i1	861.3	449
EOG090X00X3	Complete	TRINITY_DN68091_c0_g2_i1	633.9	731
EOG090X0109	Complete	TRINITY_DN71430_c12_g2_i1	1520.2	755
EOG090X010S	Complete	TRINITY_DN70168_c8_g1_i4	1839.0	1245
EOG090X0131	Complete	TRINITY_DN49583_c0_g1_i1	853.8	646
EOG090X013U	Duplicated	TRINITY_DN47341_c0_g1_i1	338.9	239
EOG090X013U	Duplicated	TRINITY_DN47341_c0_g1_i2	319.9	227
EOG090X0141	Fragmented	TRINITY_DN31872_c0_g1_i1	346.2	186
EOG090X0143	Complete	TRINITY_DN56362_c0_g1_i1	1255.4	842
EOG090X014A	Fragmented	TRINITY_DN61027_c0_g1_i1	260.7	153
EOG090X014D	Duplicated	TRINITY_DN68741_c10_g2_i2	923.2	658
EOG090X014D	Duplicated	TRINITY_DN68741_c10_g2_i6	1081.9	744
EOG090X014G	Complete	TRINITY_DN68954_c13_g1_i1	1519.7	825
EOG090X0154	Complete	TRINITY_DN68735_c6_g1_i1	1366.5	890
EOG090X015P	Duplicated	TRINITY_DN66267_c0_g1_i1	506.8	312
EOG090X015P	Duplicated	TRINITY_DN66267_c0_g1_i2	503.8	350
EOG090X017M	Complete	TRINITY_DN69830_c5_g8_i1	499.5	254
EOG090X017N	Fragmented	TRINITY_DN28627_c0_g1_i1	47.7	52
EOG090X017X	Complete	TRINITY_DN69106_c11_g6_i1	1536.2	780
EOG090X0181	Complete	TRINITY_DN71229_c2_g1_i1	1087.5	668
EOG090X018J	Complete	TRINITY_DN47392_c0_g3_i1	434.9	276
EOG090X019S	Fragmented	TRINITY_DN85659_c0_g1_i1	126.4	98
EOG090X01A3	Duplicated	TRINITY_DN69003_c5_g1_i7	1068.4	610
EOG090X01A3	Duplicated	TRINITY_DN69003_c5_g1_i8	1066.7	610
EOG090X01A3	Duplicated	TRINITY_DN69003_c5_g1_i9	1066.7	610
EOG090X01AN	Complete	TRINITY_DN70983_c6_g2_i1	664.3	454
EOG090X01B4	Complete	TRINITY_DN59590_c0_g1_i2	1020.9	518
EOG090X01BP	Complete	TRINITY_DN70836_c4_g8_i1	184.2	120
EOG090X01BU	Complete	TRINITY_DN68070_c13_g2_i1	723.7	501
EOG090X01EL	Complete	TRINITY_DN44008_c0_g1_i1	1089.3	639
EOG090X01EZ	Duplicated	TRINITY_DN69247_c5_g1_i1	1182.8	640
EOG090X01EZ	Duplicated	TRINITY_DN69247_c5_g1_i2	1171.3	636
EOG090X01F7	Duplicated	TRINITY_DN70255_c7_g4_i2	899.0	669
EOG090X01F7	Duplicated	TRINITY_DN70255_c7_g4_i3	847.3	607
EOG090X01FD	Complete	TRINITY_DN68527_c13_g1_i2	1033.8	761
EOG090X01FO	Complete	TRINITY_DN64697_c0_g1_i1	1468.9	743
EOG090X01G2	Duplicated	TRINITY_DN68990_c5_g1_i1	1021.2	608
EOG090X01G2	Duplicated	TRINITY_DN68990_c5_g1_i3	1021.6	608
EOG090X01G2	Duplicated	TRINITY_DN68990_c5_g1_i5	1022.2	609
EOG090X01H4	Fragmented	TRINITY_DN71298_c8_g2_i1	315.6	265
EOG090X01HT	Duplicated	TRINITY_DN65778_c0_g1_i1	1175.3	644
EOG090X01HT	Duplicated	TRINITY_DN65778_c0_g1_i3	1177.0	647
EOG090X01LO	Complete	TRINITY_DN68415_c9_g4_i1	290.9	407
EOG090X01LQ	Complete	TRINITY_DN68497_c12_g4_i1	223.3	241
EOG090X01LU	Duplicated	TRINITY_DN67798_c12_g1_i1	1304.4	606
EOG090X01LU	Duplicated	TRINITY_DN67798_c12_g1_i3	1304.3	606
EOG090X01LU	Duplicated	TRINITY_DN67798_c12_g1_i4	1304.2	606
EOG090X01LY	Duplicated	TRINITY_DN69981_c8_g1_i2	780.5	468
EOG090X01LY	Duplicated	TRINITY_DN69981_c8_g1_i3	712.9	424
EOG090X01LY	Duplicated	TRINITY_DN69981_c8_g1_i4	780.6	468
EOG090X01MR	Complete	TRINITY_DN55144_c0_g2_i1	522.3	462
EOG090X01NK	Complete	TRINITY_DN68538_c5_g2_i1	1189.0	687
EOG090X01NX	Duplicated	TRINITY_DN70431_c5_g1_i1	1328.5	675
EOG090X01NX	Duplicated	TRINITY_DN70431_c5_g1_i2	1221.4	615
EOG090X01OH	Fragmented	TRINITY_DN70347_c6_g3_i2	219.2	130
EOG090X01OT	Complete	TRINITY_DN54796_c0_g2_i1	183.7	112
EOG090X01QS	Complete	TRINITY_DN68885_c6_g6_i1	603.0	340
EOG090X01QX	Complete	TRINITY_DN69331_c10_g7_i1	196.4	188
EOG090X01R0	Complete	TRINITY_DN69240_c10_g1_i2	192.5	452
EOG090X01R1	Duplicated	TRINITY_DN69450_c8_g1_i1	999.9	535
EOG090X01R1	Duplicated	TRINITY_DN69450_c8_g1_i5	1026.4	562
EOG090X01SN	Fragmented	TRINITY_DN58551_c0_g1_i1	483.5	205
EOG090X01U4	Complete	TRINITY_DN69049_c6_g1_i1	1012.4	589
EOG090X01UE	Complete	TRINITY_DN69509_c11_g1_i1	1032.0	563
EOG090X01UY	Complete	TRINITY_DN68718_c5_g1_i2	1020.3	595
EOG090X01V1	Complete	TRINITY_DN70678_c4_g1_i1	1080.2	592
EOG090X01W2	Complete	TRINITY_DN69972_c2_g1_i1	700.2	432
EOG090X01XB	Fragmented	TRINITY_DN49842_c0_g1_i1	49.6	40
EOG090X01YQ	Complete	TRINITY_DN69615_c7_g7_i1	345.5	254
EOG090X0205	Fragmented	TRINITY_DN64589_c0_g2_i1	409.9	199
EOG090X020Y	Complete	TRINITY_DN69542_c4_g1_i1	280.4	130
EOG090X020Z	Complete	TRINITY_DN69520_c8_g2_i1	365.6	231
EOG090X021B	Complete	TRINITY_DN68528_c13_g2_i1	489.5	360
EOG090X023B	Missing
EOG090X024P	Fragmented	TRINITY_DN68871_c6_g2_i2	442.0	273
EOG090X0266	Duplicated	TRINITY_DN69615_c8_g1_i1	1028.4	643
EOG090X0266	Duplicated	TRINITY_DN69615_c8_g1_i4	1027.1	643
EOG090X0266	Duplicated	TRINITY_DN69615_c8_g1_i6	1027.9	643
EOG090X0267	Complete	TRINITY_DN62340_c0_g2_i1	424.9	258
EOG090X026K	Fragmented	TRINITY_DN69428_c7_g6_i1	365.4	188
EOG090X026V	Complete	TRINITY_DN68272_c13_g1_i4	468.1	388
EOG090X0272	Fragmented	TRINITY_DN68914_c5_g3_i1	288.8	165
EOG090X0279	Complete	TRINITY_DN68684_c10_g1_i3	794.0	409
EOG090X027A	Duplicated	TRINITY_DN70062_c9_g2_i2	929.1	571
EOG090X027A	Duplicated	TRINITY_DN70062_c9_g2_i3	928.9	571
EOG090X027A	Duplicated	TRINITY_DN70062_c9_g2_i4	918.4	564
